,Unnamed: 0,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
812,812,"BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,RAW",72.32,130,21.64,4.81,1.11,0.12,0.0,0.0,13.0,2.09,21.0,217.0,373.0,79.0,5.41,0.084,0.014,23.6,0.0,0.08,0.17,4.887,0.66,0.568,3.0,0.0,3.0,3.0,69.1,2.27,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,4.0,1.5,1.988,2.51,0.31,63.0
912,912,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD",63.27,187,29.51,6.72,1.2,0.0,0.0,0.0,17.0,2.01,25.0,231.0,369.0,61.0,5.58,0.094,0.011,34.1,0.0,0.07,0.135,7.77,0.517,0.548,9.0,0.0,9.0,9.0,112.4,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.1,4.0,1.4,2.56,2.684,0.259,81.0
213,213,"SOUP,CRM OF ONION,CND,COND",81.0,88,2.2,4.2,2.2,10.4,0.4,3.64,27.0,0.5,5.0,30.0,98.0,637.0,0.12,0.11,0.2,2.3,1.0,0.04,0.06,0.4,0.24,0.02,6.0,0.0,6.0,6.0,11.4,0.04,113.0,28.0,27.0,0.0,13.0,0.0,0.0,10.0,0.43,0.0,0.0,2.2,1.17,1.67,1.16,12.0
649,649,"HADDOCK,RAW",83.38,74,16.32,0.45,1.28,0.0,0.0,0.0,11.0,0.17,21.0,227.0,286.0,213.0,0.32,0.021,0.011,25.9,0.0,0.02,0.057,3.363,0.403,0.281,12.0,0.0,12.0,12.0,65.0,1.83,57.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5,18.0,0.1,0.091,0.061,0.166,54.0
174,174,"TURKEY,CND,MEAT ONLY,W/BROTH",66.07,169,23.68,6.86,1.92,1.47,0.0,0.0,12.0,1.86,20.0,162.0,224.0,518.0,2.37,0.074,0.017,25.9,2.0,0.014,0.171,6.622,0.686,0.33,6.0,0.0,6.0,6.0,74.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.3,11.0,0.7,2.0,2.26,1.75,66.0
217,217,"GRVY, CHCKN, CNND BTTLD, RTS",90.3,48,0.71,2.62,1.08,5.29,0.1,0.3,10.0,0.09,3.0,20.0,42.0,389.0,0.08,0.019,0.015,0.4,0.0,0.024,0.053,0.285,0.143,0.025,2.0,0.0,2.0,2.0,3.7,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.6,0.639,1.027,0.407,5.0
228,228,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",87.04,65,2.36,3.58,1.26,5.76,0.3,2.82,68.0,0.1,7.0,59.0,103.0,357.0,0.31,0.013,0.025,2.7,0.1,0.026,0.104,0.214,0.255,0.027,3.0,0.0,3.0,3.0,13.2,0.28,102.0,30.0,30.0,0.0,2.0,0.0,0.0,2.0,0.26,0.7,29.0,9.6,1.116,0.877,1.435,4.0
501,501,"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",93.43,22,0.62,0.48,0.97,4.5,2.8,1.89,13.0,0.22,12.0,29.0,173.0,237.0,0.31,0.11,0.169,0.3,8.0,0.026,0.04,0.42,0.408,0.118,18.0,0.0,18.0,18.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,4.7,0.031,0.01,0.065,0.0
351,351,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN & FAT,RAW",69.7,170,20.71,9.03,0.96,0.0,0.0,0.0,19.0,0.63,25.0,209.0,343.0,55.0,1.77,0.063,0.007,33.8,0.0,0.485,0.189,6.619,0.704,0.697,0.0,0.0,0.0,0.0,55.8,0.53,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12,0.5,21.0,0.0,2.993,3.548,1.19,69.0
35,35,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",89.21,50,3.3,1.98,0.71,4.8,0.0,5.06,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,0.014,2.5,0.2,0.039,0.185,0.092,0.356,0.038,5.0,0.0,5.0,5.0,16.4,0.53,102.0,28.0,27.0,0.0,7.0,0.0,0.0,0.0,0.03,0.0,1.0,0.2,1.257,0.56,0.073,8.0
