n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
200,0,3,2,0.03833333333333333,4.933805704116821
200,1,3,2,0.015000000000000013,4.859421968460083
200,2,3,2,0.01833333333333335,4.8228371143341064
400,0,3,2,0.006666666666666636,17.817321062088013
400,1,3,2,0.03666666666666666,17.71882915496826
400,2,3,2,0.045833333333333316,17.5393009185791
600,0,3,2,0.011111111111111146,39.06575393676758
600,1,3,2,0.10444444444444445,38.76568007469177
600,2,3,2,0.016111111111111114,38.89991784095764
800,0,3,2,0.0037499999999999942,69.64315509796143
800,1,3,2,0.02166666666666665,69.41715908050537
800,2,3,2,0.007916666666666647,69.19621014595032
1000,0,3,2,0.01466666666666668,109.86977505683899
1000,1,3,2,0.02200000000000002,110.11601305007935
1000,2,3,2,0.031999999999999994,109.7646541595459
1200,0,3,2,0.006944444444444457,159.19608879089355
1200,1,3,2,0.025833333333333337,157.56007981300354
1200,2,3,2,0.05166666666666667,158.67663502693176
1400,0,3,2,0.0011904761904761862,215.12752199172974
1400,1,3,2,0.00023809523809522246,213.84338998794556
1400,2,3,2,0.00023809523809522246,212.86650705337524
1600,0,3,2,0.0006249999999999867,282.30472707748413
1600,1,3,2,0.02687500000000002,282.20170974731445
1600,2,3,2,0.091875,284.27829098701477
1800,0,3,2,0.050370370370370364,359.8854966163635
1800,1,3,2,0.008148148148148163,359.8254437446594
1800,2,3,2,0.00018518518518517713,361.8610830307007
