,1,2,3
0,8,307.0,130
1,8,350.0,165
2,8,318.0,150
3,8,304.0,150
4,8,302.0,140
5,8,429.0,198
6,8,454.0,220
7,8,440.0,215
8,8,455.0,225
9,8,390.0,190
10,8,383.0,170
11,8,340.0,160
12,8,400.0,150
13,8,455.0,225
14,4,113.0,95
15,6,198.0,95
16,6,199.0,97
17,6,200.0,85
18,4,97.0,88
19,4,97.0,46
20,4,110.0,87
21,4,107.0,90
22,4,104.0,95
23,4,121.0,113
24,6,199.0,90
25,8,360.0,215
26,8,307.0,200
27,8,318.0,210
28,8,304.0,193
29,4,97.0,88
30,4,140.0,90
31,4,113.0,95
32,4,98.0,?
33,6,232.0,100
34,6,225.0,105
35,6,250.0,100
36,6,250.0,88
37,6,232.0,100
38,8,350.0,165
39,8,400.0,175
40,8,351.0,153
41,8,318.0,150
42,8,383.0,180
43,8,400.0,170
44,8,400.0,175
45,6,258.0,110
46,4,140.0,72
47,6,250.0,100
48,6,250.0,88
49,4,122.0,86
50,4,116.0,90
51,4,79.0,70
52,4,88.0,76
53,4,71.0,65
54,4,72.0,69
55,4,97.0,60
56,4,91.0,70
57,4,113.0,95
58,4,97.5,80
59,4,97.0,54
60,4,140.0,90
61,4,122.0,86
62,8,350.0,165
63,8,400.0,175
64,8,318.0,150
65,8,351.0,153
66,8,304.0,150
67,8,429.0,208
68,8,350.0,155
69,8,350.0,160
70,8,400.0,190
71,3,70.0,97
72,8,304.0,150
73,8,307.0,130
74,8,302.0,140
75,8,318.0,150
76,4,121.0,112
77,4,121.0,76
78,4,120.0,87
79,4,96.0,69
80,4,122.0,86
81,4,97.0,92
82,4,120.0,97
83,4,98.0,80
84,4,97.0,88
85,8,350.0,175
86,8,304.0,150
87,8,350.0,145
88,8,302.0,137
89,8,318.0,150
90,8,429.0,198
91,8,400.0,150
92,8,351.0,158
93,8,318.0,150
94,8,440.0,215
95,8,455.0,225
96,8,360.0,175
97,6,225.0,105
98,6,250.0,100
99,6,232.0,100
100,6,250.0,88
101,6,198.0,95
102,4,97.0,46
103,8,400.0,150
104,8,400.0,167
105,8,360.0,170
106,8,350.0,180
107,6,232.0,100
108,4,97.0,88
109,4,140.0,72
110,4,108.0,94
111,3,70.0,90
112,4,122.0,85
113,6,155.0,107
114,4,98.0,90
115,8,350.0,145
116,8,400.0,230
117,4,68.0,49
118,4,116.0,75
119,4,114.0,91
120,4,121.0,112
121,8,318.0,150
122,4,121.0,110
123,6,156.0,122
124,8,350.0,180
125,6,198.0,95
126,6,200.0,?
127,6,232.0,100
128,6,250.0,100
129,4,79.0,67
130,4,122.0,80
131,4,71.0,65
132,4,140.0,75
133,6,250.0,100
134,6,258.0,110
135,6,225.0,105
136,8,302.0,140
137,8,350.0,150
138,8,318.0,150
139,8,302.0,140
140,8,304.0,150
141,4,98.0,83
142,4,79.0,67
143,4,97.0,78
144,4,76.0,52
145,4,83.0,61
146,4,90.0,75
147,4,90.0,75
148,4,116.0,75
149,4,120.0,97
150,4,108.0,93
151,4,79.0,67
152,6,225.0,95
153,6,250.0,105
154,6,250.0,72
155,6,250.0,72
156,8,400.0,170
157,8,350.0,145
158,8,318.0,150
159,8,351.0,148
160,6,231.0,110
161,6,250.0,105
162,6,258.0,110
163,6,225.0,95
164,6,231.0,110
165,8,262.0,110
166,8,302.0,129
167,4,97.0,75
168,4,140.0,83
169,6,232.0,100
170,4,140.0,78
171,4,134.0,96
172,4,90.0,71
173,4,119.0,97
174,6,171.0,97
175,4,90.0,70
176,6,232.0,90
177,4,115.0,95
178,4,120.0,88
179,4,121.0,98
180,4,121.0,115
181,4,91.0,53
182,4,107.0,86
183,4,116.0,81
184,4,140.0,92
185,4,98.0,79
186,4,101.0,83
187,8,305.0,140
188,8,318.0,150
189,8,304.0,120
190,8,351.0,152
191,6,225.0,100
192,6,250.0,105
193,6,200.0,81
194,6,232.0,90
195,4,85.0,52
196,4,98.0,60
197,4,90.0,70
198,4,91.0,53
199,6,225.0,100
200,6,250.0,78
201,6,250.0,110
202,6,258.0,95
203,4,97.0,71
204,4,85.0,70
205,4,97.0,75
206,4,140.0,72
207,4,130.0,102
208,8,318.0,150
209,4,120.0,88
210,6,156.0,108
211,6,168.0,120
212,8,350.0,180
213,8,350.0,145
214,8,302.0,130
215,8,318.0,150
216,4,98.0,68
217,4,111.0,80
218,4,79.0,58
219,4,122.0,96
220,4,85.0,70
221,8,305.0,145
222,8,260.0,110
223,8,318.0,145
224,8,302.0,130
225,6,250.0,110
226,6,231.0,105
227,6,225.0,100
228,6,250.0,98
229,8,400.0,180
230,8,350.0,170
231,8,400.0,190
232,8,351.0,149
233,4,97.0,78
234,4,151.0,88
235,4,97.0,75
236,4,140.0,89
237,4,98.0,63
238,4,98.0,83
239,4,97.0,67
240,4,97.0,78
241,6,146.0,97
242,4,121.0,110
243,3,80.0,110
244,4,90.0,48
245,4,98.0,66
246,4,78.0,52
247,4,85.0,70
248,4,91.0,60
249,8,260.0,110
250,8,318.0,140
251,8,302.0,139
252,6,231.0,105
253,6,200.0,95
254,6,200.0,85
255,4,140.0,88
256,6,225.0,100
257,6,232.0,90
258,6,231.0,105
259,6,200.0,85
260,6,225.0,110
261,6,258.0,120
262,8,305.0,145
263,6,231.0,165
264,8,302.0,139
265,8,318.0,140
266,4,98.0,68
267,4,134.0,95
268,4,119.0,97
269,4,105.0,75
270,4,134.0,95
271,4,156.0,105
272,4,151.0,85
273,4,119.0,97
274,5,131.0,103
275,6,163.0,125
276,4,121.0,115
277,6,163.0,133
278,4,89.0,71
279,4,98.0,68
280,6,231.0,115
281,6,200.0,85
282,4,140.0,88
283,6,232.0,90
284,6,225.0,110
285,8,305.0,130
286,8,302.0,129
287,8,351.0,138
288,8,318.0,135
289,8,350.0,155
290,8,351.0,142
291,8,267.0,125
292,8,360.0,150
293,4,89.0,71
294,4,86.0,65
295,4,98.0,80
296,4,121.0,80
297,5,183.0,77
298,8,350.0,125
299,4,141.0,71
300,8,260.0,90
301,4,105.0,70
302,4,105.0,70
303,4,85.0,65
304,4,91.0,69
305,4,151.0,90
306,6,173.0,115
307,6,173.0,115
308,4,151.0,90
309,4,98.0,76
310,4,89.0,60
