Marital status,Application order,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,5,1,1,122,19,12,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,1,160,1,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14,0,0,6,6,6,13.6666666666667,0,13.9,-0.3,0.79,Graduate
1,5,1,1,122,37,37,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
1,2,1,1,122,38,37,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.4285714285714,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
2,1,0,1,100,37,38,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.3333333333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate
2,1,0,19,133.1,37,37,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.8571428571429,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
1,1,1,1,142,19,38,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
1,4,1,1,119,37,37,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
1,3,1,1,137,1,1,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.1428571428571,0,16.2,0.3,-0.92,Graduate
1,1,1,1,138,1,19,123,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
1,1,1,1,139,38,19,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.3333333333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
1,1,1,1,136,19,38,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.2142857142857,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,Graduate
1,2,1,1,133,19,37,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
1,1,1,42,110,1,1,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.5714285714286,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
1,1,1,1,149,38,37,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
1,1,1,1,127,19,37,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
1,1,1,1,137,19,38,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
1,2,1,1,135,19,1,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
1,1,1,1,137,3,19,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
1,1,1,1,140,19,19,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.6666666666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
1,3,1,1,122,1,1,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
1,4,1,1,127,1,38,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
1,4,1,1,142,19,19,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.8571428571429,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,Graduate
1,4,1,1,125,1,38,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,Graduate
1,1,1,1,126,19,19,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.2966666666667,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,Graduate
1,1,1,1,151,19,38,157,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
1,2,1,1,115,19,38,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,Graduate
1,1,1,1,138,19,19,131,1,0,0,1,0,0,18,0,0,5,9,5,12.6666666666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,135,19,1,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,Graduate
1,2,1,1,127,3,3,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.9333333333333,0,0,7,7,6,13.7166666666667,0,16.2,0.3,-0.92,Enrolled
1,1,1,39,150,4,5,150,0,0,0,1,1,0,21,0,0,6,15,5,11.8571428571429,0,0,6,17,5,10.5714285714286,0,16.2,0.3,-0.92,Enrolled
1,1,1,1,125,42,3,130,1,0,0,1,1,0,20,0,2,6,7,6,12.8333333333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
