n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
400,0,2,2,0.0,29.73983645439148
400,1,2,2,0.0,28.409514904022217
400,2,2,2,0.0,28.223695278167725
400,3,2,2,0.0,27.36542296409607
400,4,2,2,0.0012499999999999734,27.661301374435425
400,0,2,3,0.0012499999999999734,28.016058206558228
400,1,2,3,0.0,28.18990397453308
400,2,2,3,0.0,27.643179178237915
400,3,2,3,0.006249999999999978,28.93201518058777
400,4,2,3,0.0,27.671395540237427
400,0,2,4,0.0012499999999999734,28.109530210494995
400,1,2,4,0.0,27.84171772003174
400,2,2,4,0.24624999999999997,28.200963020324707
400,3,2,4,0.0,28.187589645385742
400,4,2,4,0.05125000000000002,28.109390020370483
400,0,2,5,0.0,28.04768967628479
400,1,2,5,0.03999999999999998,28.778100967407227
400,2,2,5,0.0,27.70896005630493
400,3,2,5,0.0037499999999999756,27.992105722427368
400,4,2,5,0.0,28.48394203186035
400,0,2,6,0.08249999999999996,28.04401397705078
400,1,2,6,0.15500000000000003,28.330039978027344
400,2,2,6,0.16249999999999998,28.095696687698364
400,3,2,6,0.0,27.66927742958069
400,4,2,6,0.0,28.094889163970947
400,0,2,7,0.0,28.298359870910645
400,1,2,7,0.09250000000000003,28.177055835723877
400,2,2,7,0.0,27.797456979751587
400,3,2,7,0.0,27.777530431747437
400,4,2,7,0.10499999999999998,29.110055923461914
400,0,2,8,0.0,28.672422409057617
400,1,2,8,0.19124999999999998,27.645780324935913
400,2,2,8,0.0,27.75367784500122
400,3,2,8,0.0,28.30508065223694
400,4,2,8,0.0,28.335174322128296
400,0,2,9,0.0,28.062779903411865
400,1,2,9,0.0,28.461037397384644
400,2,2,9,0.0,27.885997772216797
400,3,2,9,0.0,28.3532452583313
400,4,2,9,0.0,27.913021087646484
400,0,2,10,0.23874999999999996,28.304461002349854
400,1,2,10,0.019999999999999962,27.759639739990234
400,2,2,10,0.07874999999999999,28.12669062614441
400,3,2,10,0.0,28.044997692108154
400,4,2,10,0.0,27.710169315338135
400,0,2,2,0.0,27.86673331260681
400,1,2,2,0.007499999999999951,28.387250661849976
400,2,2,2,0.0,27.972546339035034
400,3,2,2,0.0012499999999999734,28.436301469802856
400,4,2,2,0.007500000000000007,28.11810278892517
400,0,2,3,0.00874999999999998,28.5164475440979
400,1,2,3,0.0,28.545727968215942
400,2,2,3,0.0,29.349421501159668
400,3,2,3,0.0,27.928109407424927
400,4,2,3,0.16875,27.815269947052002
400,0,2,4,0.0,28.314123153686523
400,1,2,4,0.0,27.86736297607422
400,2,2,4,0.0,28.71887493133545
400,3,2,4,0.0,27.87595009803772
400,4,2,4,0.0,28.462742805480957
400,0,2,5,0.11875000000000002,27.48577070236206
400,1,2,5,0.0,27.88625693321228
400,2,2,5,0.0,27.87825632095337
400,3,2,5,0.0,27.835697650909424
400,4,2,5,0.0,28.2275607585907
400,0,2,6,0.0,27.709381818771362
400,1,2,6,0.0,28.940170288085938
400,2,2,6,0.0,28.390169143676758
400,3,2,6,0.0,28.977181673049927
400,4,2,6,0.0,28.584763288497925
400,0,2,7,0.0,28.30411195755005
400,1,2,7,0.0,28.05577063560486
400,2,2,7,0.0,28.310352325439453
400,3,2,7,0.10749999999999998,28.451937198638916
400,4,2,7,0.0,28.68475365638733
400,0,2,8,0.16875,29.014395236968994
400,1,2,8,0.0,28.513108491897583
400,2,2,8,0.0,28.038784742355347
400,3,2,8,0.0,28.77764654159546
400,4,2,8,0.0,28.07716417312622
400,0,2,9,0.0,28.61801314353943
400,1,2,9,0.13624999999999998,27.98499035835266
400,2,2,9,0.40375,28.444923162460327
400,3,2,9,0.0037499999999999756,28.059834241867065
400,4,2,9,0.0012499999999999734,28.122949361801147
400,0,2,10,0.0,27.943650484085083
400,1,2,10,0.08500000000000002,28.591376543045044
400,2,2,10,0.006249999999999978,28.196044206619263
400,3,2,10,0.15250000000000002,27.9520583152771
