n_samples,exp_num,n_perspectives,n_clusters,perplexity,separation_error,time
400,0,2,2,40,0.0,11.982365369796753
400,1,2,2,40,0.0,11.844280242919922
400,2,2,2,40,0.0,11.84273910522461
400,3,2,2,40,0.0,11.794723987579346
400,4,2,2,40,0.0,11.80900239944458
400,0,3,2,40,0.01833333333333335,17.692309141159058
400,1,3,2,40,0.023333333333333317,17.698348999023438
400,2,3,2,40,0.022499999999999964,17.76700735092163
400,3,3,2,40,0.12416666666666665,17.77488112449646
400,4,3,2,40,0.020000000000000018,17.759906768798828
400,0,4,2,40,0.12375,23.804941654205322
400,1,4,2,40,0.135625,23.815189123153687
400,2,4,2,40,0.11437499999999998,23.55044412612915
400,3,4,2,40,0.13499999999999998,23.518978118896484
400,4,4,2,40,0.105625,23.774925231933594
400,0,5,2,40,0.177,29.480359077453613
400,1,5,2,40,0.184,29.62628197669983
400,2,5,2,40,0.2,29.729575157165527
400,3,5,2,40,0.147,29.660927057266235
400,4,5,2,40,0.18499999999999997,29.52089762687683
400,0,6,2,40,0.19374999999999998,35.6668438911438
400,1,6,2,40,0.20125,35.537437915802
400,2,6,2,40,0.2225,35.70995378494263
400,3,6,2,40,0.2483333333333333,35.5578179359436
400,4,6,2,40,0.23583333333333334,35.814183950424194
400,0,7,2,40,0.26964285714285713,41.69764304161072
400,1,7,2,40,0.24357142857142858,41.53162097930908
400,2,7,2,40,0.2635714285714285,41.48596525192261
400,3,7,2,40,0.24607142857142852,41.89510893821716
400,4,7,2,40,0.2625,42.64545297622681
400,0,8,2,40,0.26531249999999995,48.95922493934631
400,1,8,2,40,0.2728125,48.13539099693298
400,2,8,2,40,0.2765625,48.58582806587219
400,3,8,2,40,0.2703125,48.242016077041626
400,4,8,2,40,0.275,48.491316080093384
400,0,9,2,40,0.27388888888888885,53.925111055374146
400,1,9,2,40,0.29500000000000004,54.366620779037476
400,2,9,2,40,0.2936111111111111,54.43507671356201
400,3,9,2,40,0.2988888888888889,54.174262046813965
400,4,9,2,40,0.2930555555555555,54.82824897766113
400,0,10,2,40,0.30849999999999994,61.15760779380798
400,1,10,2,40,0.30900000000000005,60.15639591217041
400,2,10,2,40,0.29874999999999996,60.552074909210205
400,3,10,2,40,0.30624999999999997,60.154783964157104
400,4,10,2,40,0.3135,59.96607780456543
400,0,2,2,80,0.0,12.090888023376465
400,1,2,2,80,0.0,12.075698852539062
400,2,2,2,80,0.0,12.163965940475464
400,3,2,2,80,0.006249999999999978,12.051659107208252
400,4,2,2,80,0.023749999999999993,12.013024091720581
400,0,3,2,80,0.07749999999999997,18.11642074584961
400,1,3,2,80,0.10416666666666667,18.08062481880188
400,2,3,2,80,0.006666666666666672,18.227248907089233
400,3,3,2,80,0.010833333333333325,18.16745400428772
400,4,3,2,80,0.012499999999999992,18.05321192741394
400,0,4,2,80,0.09375,24.21141290664673
