n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
200,0,2,2,0.0,3.208777904510498
200,1,2,2,0.0,3.074652910232544
200,2,2,2,0.0,3.080451250076294
200,3,2,2,0.0,3.0864720344543457
200,4,2,2,0.0,3.1804959774017334
400,0,2,2,0.0,11.420036792755127
400,1,2,2,0.0,11.311151266098022
400,2,2,2,0.0,11.408186674118042
400,3,2,2,0.0,11.313653945922852
400,4,2,2,0.0,11.228554010391235
600,0,2,2,0.0,25.540709018707275
600,1,2,2,0.0,26.47393274307251
600,2,2,2,0.0,26.57542085647583
600,3,2,2,0.0,26.23320984840393
600,4,2,2,0.0,26.01366090774536
800,0,2,2,0.0,46.87007689476013
800,1,2,2,0.0,46.44858908653259
800,2,2,2,0.0,46.59727716445923
800,3,2,2,0.0,46.338263750076294
800,4,2,2,0.0,46.500351905822754
1000,0,2,2,0.0,73.11323595046997
1000,1,2,2,0.0,73.2636821269989
1000,2,2,2,0.0,71.87188601493835
1000,3,2,2,0.0,72.45971298217773
1000,4,2,2,0.0,71.98143792152405
1200,0,2,2,0.0,104.10107803344727
1200,1,2,2,0.0,103.45243000984192
1200,2,2,2,0.0,104.75833916664124
1200,3,2,2,0.0,105.46613192558289
1200,4,2,2,0.01958333333333334,106.12152695655823
1400,0,2,2,0.0,143.41949081420898
1400,1,2,2,0.0,145.5948920249939
1400,2,2,2,0.0,150.0872597694397
1400,3,2,2,0.0,149.2516860961914
1400,4,2,2,0.0,149.1432192325592
1600,0,2,2,0.0,196.23074889183044
1600,1,2,2,0.0,194.54950189590454
1600,2,2,2,0.0,194.14538383483887
1600,3,2,2,0.0,193.3082070350647
1600,4,2,2,0.0,194.687579870224
1800,0,2,2,0.0,246.9218728542328
1800,1,2,2,0.0,246.2798228263855
1800,2,2,2,0.007222222222222241,248.03181719779968
1800,3,2,2,0.0,250.217031955719
1800,4,2,2,0.0,249.06680488586426
